NR_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO
100;PASTOR EDÉSIO FERNANDES;PRB
100;SENADOR EDUARDO LOPES;PRB
100;FRANCISCO ALVES;PRB
100;PASTOR HELENO;PRB
100;GILMAR DA CRUZ;PRB
100;ADILTON SACHETTI;PRB
101;FRANK AGUIAR;PRB
101;CÉSAR HALUM;PRB
107;MECIAS DE JESUS;PRB
109;PEDRO CHAVES;PRB
111;HELIO QUEIROZ;PP
111;CARLOS MAGNO;PP
111;LUIS CARLOS HEINZE;PP
111;DANIELLA RIBEIRO;PP
111;ESPERIDIÃO AMIN;PP
111;BENEDITO DE LIRA;PP
111;CIRO NOGUEIRA;PP
111;MÁRIO COUTO;PP
111;VANDERLAN;PP
123;FÁBIO CHEREM;PDT
123;ANGELA PORTELA;PDT
123;NELTON;PDT
123;CORONEL OSMAR NASCIMENTO;PDT
123;HISSA ABRAHÃO;PDT
123;WEVERTON;PDT
123;JOSE BONIFACIO;PDT
123;CID GOMES;PDT
123;ANTONIO NETO;PDT
130;JAQUES WAGNER;PT
130;HUMBERTO COSTA;PT
130;IDELI SALVATTI;PT
130;MIGUEL CORREA;PT
131;WASNY;PT
131;PAULO MOURÃO;PT
131;VALDIR BARRANCO;PT
131;LÉDIO ROSA;PT
131;MIRIAN GONÇALVES;PT
131;PAULO PAIM;PT
131;EDUARDO SUPLICY;PT
131;JORGE VIANA;PT
131;LINDBERGH;PT
131;ZÉ GERALDO;PT
131;CÉLIA TAVARES;PT
131;PROFESSORA GELI;PT
131;ROGERIO CARVALHO SANTOS;PT
131;ALEXANDRE MOTTA;PT
132;JILMAR TATTO;PT
133;ZECA DO PT;PT
133;FÁTIMA CLEIDE;PT
133;NEY AMORIM;PT
133;MARCELO NEVES;PT
133;DILMA ROUSSEFF;PT
134;LUIZ COUTO;PT
135;LUIS CÉSAR BUENO;PT
144;HELDER CARNIELLI;PTB
144;JÚLIO MARTINS;PTB
144;WALISSON NASCIMENTO;PTB
144;NELSINHO TRAD;PTB
144;ALEX CANZIANI;PTB
147;LUCAS BARRETO;PTB
150;EDISON LOBÃO;MDB
150;JORGE VIANNA;MDB
150;AGENOR;MDB
151;MARCELO BARBIERI;MDB
151;JADER BARBALHO;MDB
151;RENAN;MDB
151;ROBERTO PAULINO;MDB
151;MÁRCIO BITTAR;MDB
151;MOKA;MDB
151;VALDIR RAUPP;MDB
151;JOSÉ FOGAÇA;MDB
151;EUNÍCIO;MDB
151;MARCELO CASTRO;MDB
151;FÁTIMA PELAES;MDB
151;REQUIÃO;MDB
152;CONFUCIO MOURA;MDB
152;GILVAM BORGES;MDB
154;GARIBALDI FILHO;MDB
155;CIDINHA;MDB
155;EDUARDO BRAGA;MDB
155;JACKSON BARRETO;MDB
156;JARBAS;MDB
156;ROMERO JUCÁ;MDB
160;JOÃO AUGUSTO;PSTU
160;SAMANTHA GUEDES;PSTU
160;MANCHA;PSTU
160;MAGELA;PSTU
160;RICARDO LAUTERT;PSTU
160;ROBSON;PSTU
161;TITO PAZ;PSTU
161;CLARCKSON MESSIAS;PSTU
161;SAULO ARCANGELI;PSTU
161;LOURIVAL;PSTU
161;VANESSA PORTUGAL BARBOSA;PSTU
161;ANA CELIA;PSTU
161;HELIO CABRAL;PSTU
161;CYRO CARGIA;PSTU
161;DR. DAVI;PSTU
161;DRA. ELIANA FERREIRA;PSTU
161;BENEDITA DO AMARAL;PSTU
161;MARLI SCHAULE;PSTU
163;PRETA LU;PSTU
166;GERVASIO SANTOS;PSTU
167;PAULO CADILLAC;PSTU
169;JOÃO MORAIS ;PSTU
170;ANTÔNIO JOSÉ LIRA;PSL
170;FARLEI O FEDERAL;PSL
170;SAMOEL DE ITAPECURU;PSL
170;JUIZA SELMA ARRUDA;PSL
170;COMANDANTE RANGEL;PSL
170;CARMEN FLORES;PSL
177;PEDRAZZA;PSL
177;JAIME BAGATTOLI;PSL
177;CADU SILVA;PSL
177;ANTÔNIO JORGE;PSL
177;PASTOR PEDRO RIBEIRO;PSL
177;SORAYA THRONICKE;PSL
177;SUBTENENTE ASSIS;PSL
177;FLÁVIO BOLSONARO;PSL
177;PR.ISAMAR RAMALHO;PSL
177;PROFESSOR WILSON PICLER;PSL
177;MAJOR OLIMPIO;PSL
177;ELIZEU AGUIAR;PSL
177;LUCAS ESMERALDINO;PSL
177;DR RICARDO SANTOS;PSL
177;FLAVIO MORENO;PSL
178;DR MÁRCIO PINHEIRO;PSL
180;CHICO LEITE;REDE
180;MOIRA LÁZARO MANDATO COLETIVO;REDE
180;RANDOLFE ;REDE
180;PASTOR JAIRINHO;REDE
180;LUIZ CASTRO;REDE
180;CAPITÃO STYVENSON;REDE
180;JOÃO SARAIVA;REDE
180;ALUÍZIO VIDAL;REDE
180;KAKA MENEZES;REDE
181;PAULO HENRIQUE;REDE
181;FABIANO CONTARATO;REDE
181;DELEGADO ALESSANDRO VIEIRA;REDE
181;MINORU KINPARA;REDE
181;FLAVIO ARNS;REDE
181;MIRIAM PROCHNOW;REDE
188;DIEGO MEZZOGIORNO;REDE
188;PEDRO HENRIQUE DE CRISTO;REDE
188;MIRO TEIXEIRA;REDE
188;SEBASTIÃO CARLOS;REDE
188;NAPOLEÃO;REDE
188;ADRIANA ROCHA;REDE
188;FRANCISCO JOSÉ;REDE
190;BETO FIGUEIRÓ;PODE
190;ANA VARELA;PODE
190;BARDAWIL;PODE
191;PROFESSOR ORIOVISTO GUIMARAES;PODE
191;MARIO COVAS NETO;PODE
191;JOSÉ MEDEIROS;PODE
199;JÁCOME;PODE
200;PASTOR EVERALDO;PSC
200;GENIVAL OLIVEIRA ;PSC
200;PROMOTOR SERGIO HARFOUCHE;PSC
200;ZEQUINHA MARINHO;PSC
200;ANDRÉ MOURA;PSC
200;IRMÃO LÁZARO;PSC
200;REINALDO MORAIS;PSC
210;PROFESSORA MAGDA BORGES;PCB
210;OSVALDO MACIEL;PCB
210;PROFESSOR TULIO LOPES;PCB
211;MARTA BARÇANTE;PCB
211;PROFESSOR FAUSTO RIPARDO;PCB
211;MAURO RIBEIRO;PCB
212;TELMA TAUREPANG;PCB
212;CLEBER SOARES;PCB
212;IÊGO BRUNNO;PCB
212;JOAQUINA LINO;PCB
222;LUCIANO CASTRO;PR
222;PROFESSORA AMÁBILE;PR
222;ANIVALDO VALE;PR
222;MAGNO MALTA;PR
222;VICENTINHO;PR
222;JORGINHO MELLO;PR
222;ALFREDO NASCIMENTO;PR
222;MAURICIO QUINTELLA;PR
231;JORGE AMANAJAS;PPS
232;ELIZIANE GAMA;PPS
233;CRISTOVAM BUARQUE;PPS
234;BOSCO DA FEDERAL;PPS
234;MARIO BERND;PPS
234;MARCOS DO VAL;PPS
250;RODRIGO PACHECO;DEM
251;JAYME CAMPOS;DEM
251;WILDER MORAIS;DEM
252;MENDONCA FILHO;DEM
255;CESAR MAIA;DEM
255;MARCOS ROGÉRIO;DEM
255;CHICO RODRIGUES;DEM
258;SIQUEIRA CAMPOS;DEM
258;ROBERT RIOS;DEM
270;SARGENTO ELIZEU NASCIMENTO;DC
273;MACHADO;DC
277;KALED;DC
277;COMPADRE LUIZ ADÃO;DC
277;JOAQUIM SARAIVA;DC
277;MARCOS MAURICIO;DC
277;DR JOANILSON;DC
278;LAFAYETTE ANDRADE;DC
280;CELSINHO COTRIM;PRTB
280;TED WILSON;PRTB
281;JAIR ANDREONI;PRTB
281;MATTOS NASCIMENTO;PRTB
281;BRIGADEIRO ATILA MAIA;PRTB
282;LEVI COSTA;PRTB
283;RODRIGO REIS;PRTB
288;ZÉ BONI;PRTB
288;JURANDIR MARINHO;PRTB
290;ALBETIZA;PCO
290;ANDREÁ LUCIANO CARVALHO;PCO
290;LUIZ DELVAIR;PCO
290;GILSON MEZAROBBA;PCO
290;ALEX LIMA ROLA;PCO
290;FERNANDO FAGUNDES RIBEIRO;PCO
290;FLÁVIA MELO;PCO
290;ALEXANDRE BARROSO;PCO
290;PROFESSOR ALESSANDRO AQUINO;PCO
290;ANA ALVES;PCO
290;ADROALDO DOS SANTOS;PCO
290;NIVALDO ORLANDI;PCO
290;DANILO MATOSO;PCO
300;ULISSES PINCELLI;NOVO
300;DR WALDIR CALDAS;NOVO
300;FABRICIO JURADO;NOVO
300;DIOGO DA LUZ;NOVO
300;RODRIGO PAIVA;NOVO
300;FELICIANO AZUAGA;NOVO
300;PAULO ROQUE ;NOVO
310;JORNALISTA CARLOS VIANA;PHS
313;DR. ZENAIDE MAIA;PHS
331;ROBERTO SALUM;PMN
333;CHICO PRETO;PMN
333;JUIZ EVERARDO RIBEIRO;PMN
333;WAGNER GOMES;PMN
350;TERRINHA;PMB
350;BETINHO;PMB
351;DR. JOSENIR DETTONI;PMB
355;GABRIELLE BURCCI;PMB
355;ROGERIO BERNARDO;PMB
356;BETINI;PMB
360;ROBERT BURNS;PTC
360;GUARACY;PTC
361;IBANÊS;PTC
361;DR. MARCOS;PTC
368;CESAR NICOLATTI;PTC
368;DELCIDIO AMARAL;PTC
400;JANETE CAPIBERIBE;PSB
400;JESUALDO PIRES;PSB
400;BETO ALBUQUERQUE;PSB
400;SIDNEY ROSA;PSB
400;VENEZIANO;PSB
400;MAURREN MAGGI;PSB
400;WILSON MARTINS;PSB
404;VALADARES;PSB
405;LÚCIA VÂNIA;PSB
407;PRADO SÁ;PSB
408;LEILA DO VÔLEI;PSB
432;SARNEY FILHO;PV
433;REYNALDO NUNES;PV
434;RUDSON LEITE;PV
434;JARBAS VASCONCELOS;PV
444;BOGO;PRP
444;JORGE KAJURU;PRP
444;FADI FARAJ;PRP
444;FLÁVIA BARBOSA;PRP
450;TRIPOLI;PSDB
450;BALA ROCHA;PSDB
455;ATAÍDES OLIVEIRA;PSDB
455;ZÉ REINALDO;PSDB
455;ASPASIA;PSDB
455;PLINIO VALERIO;PSDB
456;MARCONI PERILLO;PSDB
456;IZALCI;PSDB
456;MARCELO MIGLIOLI;PSDB
456;ALEXANDRE ALMEIDA;PSDB
456;BETO RICHA;PSDB
456;RODRIGO CUNHA;PSDB
456;NILSON LEITÃO;PSDB
456;RICARDO FERRAÇO;PSDB
456;NILSON LEITÃO;PSDB
456;BRUNO ARAUJO;PSDB
456;JUTAHY MAGALHAES JUNIOR;PSDB
456;GERALDO MELO;PSDB
456;DRA. MAYRA;PSDB
456;CÁSSIO CUNHA LIMA;PSDB
456;FLEXA RIBEIRO;PSDB
456;PAULO BAUER;PSDB
457;MARA GABRILLI;PSDB
459;ROMILDA TEIXEIRA;PSDB
500;LUIZ FERNANDO SANTOS;PSOL
500;FABRÍCIO ROSA;PSOL
500;ROMER GUEX;PSOL
500;CHICO ALENCAR;PSOL
500;PROFESSOR LAILSON;PSOL
500;JESUS RODRIGUES;PSOL
500;URSULA VIDAL;PSOL
500;ALBANISE;PSOL
500;ANISIO GUATO;PSOL
500;MELK AIRES;PSOL
500;PROFESSOR NELSON JÚNIOR;PSOL
500;PROFESSOR PEDRO CABRAL;PSOL
500;PROF. CICERO ALBUQUERQUE;PSOL
500;SAULO PINTO;PSOL
500;PASTOR SIMÕES;PSOL
500;PROFESSORA SILVIA FERRARO;PSOL
500;JACQUE PARMIGIANI;PSOL
500;LIU KATRINE;PSOL
500;MARIVALDO PEREIRA;PSOL
500;PROFESSORA SONIA MEIRE;PSOL
500;PROCURADOR MAURO;PSOL
500;FABIO NOGUEIRA;PSOL
500;PROCURADOR MAURO;PSOL
500;PROFESSORA DUDA SALABERT;PSOL
501;CHICO SANT ANNA;PSOL
502;TELMA GURGEL;PSOL
505;EDUCADOR DANIEL CARA;PSOL
505;EUGÊNIA;PSOL
505;RODRIGO TOMAZINI;PSOL
505;PROFESSOR ANTONIO;PSOL
505;PROFESSOR JOSSIMÁRIO MICK;PSOL
505;GILBERTO LOPES FILHO;PSOL
505;ANNA KARINA;PSOL
505;NIVALDO MANGUEIRA;PSOL
508;RONDINELY FONSECA;PSOL
510;ROSELAINE BARROSO FERREIRA;PATRIOTA
510;ROSELAINE BARROSO FERREIRA;PATRIOTA
510;SANTANA PIRES;PATRIOTA
510;ADELSON ALVES;PATRIOTA
511;SERGIO CABRAL;PATRIOTA
511;CORONEL FERNANDA;PATRIOTA
511;WALTER CRISTIE SILVA AGUIAR;PATRIOTA
512;CHRISTIAN SANTOS;PATRIOTA
540;HENRI CLAY;PPL
540;CORONEL LACERDA;PPL
543;THIAGO FREITAS;PPL
543;XAROPINHO DO POVO;PPL
544;BISPO DAMASCENO;PPL
544;JOÃO PEDRO FERRAZ;PPL
547;ALADIR;PPL
555;RAIMUNDO COLOMBO;PSD
555;FÁVARO;PSD
555;PETECÃO;PSD
555;IRAJÁ;PSD
555;FÁVARO;PSD
555;AROLDE DE OLIVEIRA;PSD
555;ANGELO CORONEL;PSD
651;ABIGAIL PEREIRA;PC do B
651;PROFESSOR GERSON DOURAO;PC do B
654;MARIO  FONSECA;PC do B
654;PROFESSORA MARIA LUCIA;PC do B
656;VANESSA;PC do B
700;EUCLIDES RIBEIRO;AVANTE
700;QUEM QUEM;AVANTE
700;SILVIO COSTA;AVANTE
700;EDSON ANDRE P;AVANTE
777;FERNANDO MARQUES;SOLIDARIEDADE
777;PEDRO TAQUES;SOLIDARIEDADE
777;DRA. SANDRA WEBER;SOLIDARIEDADE
777;DINIS PINHEIRO;SOLIDARIEDADE
777;EDUARDO GOMES;SOLIDARIEDADE
777;WLAD;SOLIDARIEDADE
